"conversation_id_str","lang","full_text"
"1710540190509580307","in","@SapawargaSby @e100ss Museum Surabaya Siola kira kira dibuka lagi kapan ya? Sudah dari covid kemarin belum pernah buka https://t.co/Kl85DQxCmb"
"1709177574809821330","in","@gibran_tweet Repot emang mas gib. Dulu bu Risma di surabaya ga nge bolehin anggaran pembangunan gapura karena takutnya kayak gini. Sekarang after covid malah balapan bikin gapura.  😌"
"1709144686772826198","it","E mi angoscio quanto la Francia sembri sempre più l’Italia di vent’anni fa e forse il mio dottore aveva ragione quando mi ha detto che ad ogni modo gli italiani fanno sempre tutto prima: il fascismo, il covid, l’estrema destra al governo."
"1708736614841852163","in","@Miduk17 sudah kenal zaman covid pas berkunjung ke surabaya ngomonge kosro bentak bentak ke petugas pcr. sekarang mendadak dicitrakan baik palingan selesai pilpres mbalik asal"
"1708744283535310997","in","Kadiv Is Edy Eko Putranto Memimpin Penangkapan Buronan Kasus Penipuan Dana Bansos Covid Asal Jepang

selengkapnya silahkan baca di:
https://t.co/dxU0leIbLf

#memorandum #surabaya #penangkapan #buronan #penipuan #danabansos #bansos #kriminal"
"1707591031653273869","in","Kondisi pasar properti di Surabaya sejak 2021-2022 atau pascapandemi Covid-19 memang cenderung membaik.
https://t.co/s00w1DwUCp"
"1706622041686983098","in","@kompascom yang kurasakan di surabaya banyak toko sepi .. terlalu byk mall baru..bahkan sebelum era covid ato olshop kayak skr ya udah sepi..stand mall baru ga semua terisi apalagi yg pusat perbelanjaan lama..mangkrak...moga ada solusi yg lebih merata..ga cm tik tok 😑"
"1706696087778783316","en","Carbon exchange launched in Indonesia
Click the following link for more details:
https://t.co/FIMG88txDD
.
.
#indonesia #jakarta #bali #like #bandung #instagram #viral #surabaya #lfl #dirumahaja #photography #instagood #likeforlikes #malaysia #follow #medan #love #covid #travel https://t.co/51GRMLuKKX"
"1705242923057791024","in","@Kila_autumn @bittercaffeines @kegblgnunfaedh Bukan rukyah kok ini. Jd ini kayak sekumpulan org yg masuk ke tempat2 publik yg rame gt, terus ngebaca shalawat sama doa. Di madura sering soalnya, dulu pas covid di Suramadu sisi Surabaya pernah digiin juga tempat swabnya"
"1705190175725478227","in","Hal tsb diungkapkan Bupati @achmadfauzi_wy saat wawancara di Radio Suara Surabaya
Menurutnya pasca Pandemi Covid 19 yang paling dimungkinkan dijual untuk mendorong percepatan perekonomian adalah sektor pariwisata. https://t.co/2e2y2IrHsD"
"1703309211386683893","in","Pemkot Surabaya berharap gelaran Piala Dunia U-17 yang akan berlangsung di Stadion GBT bisa mendongkrak ekonomi masyarakat pasca pandemi Covid-19. https://t.co/whGvlz7eUl"
"1702617797048852612","in","@motomami29 Surabaya nih, sejak covid makin sepi."
"1702591298664882662","in","[Kasus dokter gadungan atau dokteroid yang melibatkan pria lulusan SMA di Surabaya akhirnya terungkap. dr Anggi menyebut datanya dicatut saat pandemi COVID-19.  https://t.co/OhIt3Jt3Ve"
"1702580256362639543","in","Kasus dokter gadungan atau dokteroid yang melibatkan pria lulusan SMA di Surabaya akhirnya terungkap. dr Anggi menyebut datanya dicatut saat pandemi COVID-19. https://t.co/hRzBIoq3qP"
"1701471200231493634","in","Covid-19 Subvarian Omicron BA.2.86 atau Subvarian Pirola dilaporkan tengah merebak di sejumlah negara, seperti di Amerika Serikat dan sebagian Eropa.
 
#surabaya #covid #opsi #kemenkes #wajibmasker
https://t.co/qnjb9M3c8B"
"1701382824836940156","in","@matiketawa_ck @SeventhMhd @Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @al_lasan @Anak__Ogi @AntoniusCDN @Miduk17 @NgkongRoses @vita_AVP @Arindra__ lha indonesia gak ada covid gitu....?
nanti indonesia juga sampai surabaya,
panjang pendek lintasan emang gak di perhitungkan di awal🤭"
"1701116199353110852","in","Pejabat² pemkot dimana² pake ilmu sendiri gatau drmn. ITB-Bandung ada sampah, Surabaya ada isu macet &amp; transum udh dikasi contekan sama ahlinya jg masi aja pake ilmu pelebaran jalan. Pemda² pas covid jg pake ilmu semprot² desinfektan itu dr ahli apa coba? Mau heran tp pemda."
"1700101886693564556","en","Prof @AySharifi and his colleagues present their study on COVID-19 transmission patterns in Surabaya City, Indonesia. Explore the spatial and sociodemographic factors influencing case dynamics &amp; discover the correlations that shed light on pandemic spread https://t.co/7os8rBPNhO https://t.co/BVtc8AyeMV"
"1697805188277711226","in","@achmadnas99 @Pai_C1 Saya -/+ 9 THN hampir setiap Minggu kecuali jaman covid ga nentu setiap Minggu,awal2 dulu ga bisa tidur,setelah terbiasa kletek bayar langsung merem bangun2 sampai Madiun.
Dua terakhir pindah haluan naik tol langsung madiun - Surabaya"
"1698519263282127165","in","Prabowo Subianto Puji Kepemimpinan Jokowi dalam Mengendalikan Pandemi Covid-19 - Suara Surabaya #prabowo #prabowosubianto #prabowountuksemua https://t.co/gsJkqbVSGD"
"1697869578850971671","in","Dulu tuh pas diterima kuliah di surabaya mikir rasanya pasti boring, kayak surabaya ada apa sih?. Tapi sekarang surabaya jadi kota yg ku rindukan. Dari mulai penghuni yg menemani kala itu, jalanan, makanan, dsb. Ga kebayang kalo gaada covid, segamon apa sama surabaya🧚🏻‍♀️🎀💖💐✨️"
"1697837771690574210","in","Prabowo Subianto Puji Kepemimpinan Jokowi dalam Mengendalikan Pandemi Covid-19 - Suara Surabaya #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat https://t.co/SkukLD0CuY"
"1697234589931254067","in","3. Hal tersebut selaras dengan program pemerintah yakni tentang Penanggulangan Penyakit TBC di lingkungan kota Surabaya serta akselerasi capaian vaksinasi COVID-19.

#PTPALIndonesia
#BUMNUntukIndonesia
#WorldClassCompany"
"1697234589931254067","in","1. Surabaya (31/08) Dalam karyawan yang sehat terdapat semangat kerja yang kuat. Upaya peningkatan kesehatan para InsanPAL merupakan sebuah kewajiban. Salah satunya melalui kolaborasi bersama Dinas Kesehatan Pemkot Surabaya pada giat Akselerasi Vaksinasi COVID-19 dan Skrining TBC https://t.co/g5IOS2TBv3"
"1696808573760913415","in","@CNNIndonesia Bila pilihan nya antara Ganjar, Prabowo atau Anies; andaikan UU memperbolehkan maka @jokowi Lanjut satu periode lagi adalah pilihan paling ideal

IKN Tuntas.
Kereta Cepat sampai Surabaya selesai.
Tol Sumatera, Kalimantan dan Sulawesi lanjut.
Dampak (ekonomi) akibat Covid teratasi"
"1696155820164006395","in","@lavouzenrose EWKWKWKWK mamaku yg nganjuk 😘 aq aslinya kalimantan trus pas covid pindah kesini 😭 di surabaya rumah abang Gresik rumah ayah WOWHH BANYAK BANGET tpi kalau ditanya org mana ya mhanjuk 😭 GADA JKT JKT WKWKWK"
"1695707234834264134","in","dalam survei Indonesia political opinion menyebut Anies Responsif menangani Covid 19 mengalahkan gubernur Jawa Barat dan walikota Surabaya #AniesResponsif"
"1694674360231977183","in","Banyuwangi, https://t.co/L1aPjGFPC2 - Penerbangan rute Banyuwangi-Surabaya kembali dibuka mulai 30 Agustus 2023. Rute tersebut sempat terhenti akibat pandemi Covid-19. Penerbangan ini akan dilayani maskapai Wings Air, jadwalnya seminggu tiga kali.

https://t.co/7c9JwWQOwO"
"1693604400886104320","in","@collegemenfess Wkwkwk ini bawaannya sama kaya waktu gua olimpiade ke surabaya seminggu, gua keknya kalo 45 hari nyewa gobox deh 🤣 untung gara2 covid kampus ngeconvert kkn jadi bikin jurnal ilmiah ga kebayang betapa repotnya"
"1692418898577252661","in","Kabar gembira bagi para penggemar wisata dan perjalanan udara. 

Rute penerbangan Surabaya-Banyuwangi atau sebaliknya kembali dibuka setelah sempat terhenti akibat pandemi Covid-19."
"1692350634387964348","in","@govoes sejak 2019 banyak bermunculan vendor baru.. banyak vendor baru yang ngrusak harga pasar,.. +saat covid vendor baru dan vendor jam terbang tinggi seperti terlihat seakan bedanya tipis.. ya gitulah bli.. wkwk (lokasi Surabaya)."
"1691845848479773181","in","Sebenernya ga punya, karena aku bukan tipe yang terlalu mikirin kenapa buat salah, tapi gimana cara nyelesainnya.

Cuma aku masih kadang suka mikir kenapa waktu itu aku nggak pulang ke Surabaya waktu papaku covid. Padahal UAS online. 😂 Pulang disambut kabar duka tuh gaenak."
"1691425183855435776","en","the one and only of the concerts i've seen is this!! 10000/10 for Surabaya.
-
thanks @wordfangs sebagai alumni covid, MAMAAAA AKHIRNYA AKU BISA NGERASAIN PROM NIGHT 😭😭 https://t.co/pNrE0Lcch0"
"1690989946864312320","in","bersyukur banget, surabaya jauh dari situasi ini. varian covid baru masuk lagi ditambah polusi ga masuk akal begini, auto bengek sih ini."
"1690917449850617856","in","Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 14 Agustus 2023 #VaksinCovid-19 https://t.co/6I8PJkGhs0"
"1690189893044150274","in","Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 12 Agustus 2023 #VaksinCovid-19 https://t.co/ddHwVopCCO"
"1689943892278620160","in","@sutanmangara Saya chef pemilik resto, pasokan elpiji tidak ada masalah. Pendapatan stlh covid alhamdulilah menngkat, pengiriman barang dr semarang surabaya malang lancar dgn adanya tol nyambung."
"1689477838368555008","in","@rasjawa Soal bioskop aku baru kemarin cek Salah satu XXi di surabaya ada yg jual tiket 20k , perasaan dulu sebelum covid 25k ehh sekarang malah turun jadi 20k"
"1689465119942541312","in","Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 10 Agustus 2023 #VaksinCovid-19 https://t.co/41gKWf01HC"
"1689110544903786496","in","Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 9 Agustus 2023 #VaksinCovid-19 https://t.co/Cas15bCyqV"
"1688756018258522112","in","@tanyarlfes ini yang ngalamin bukan aku sih nder, tapi mantan aku, waktu itu mantan aku ikut mbaknya ke surabaya,nah pas di surabaya dia kena covid, nah kebetulan orang tuanya mantan aku ini ga suka sama aku, tiba² bapaknya itu minta gabung vc an dan bapaknya bilang gini"
"1688556074633428992","in","PN Surabaya Masih Berlakukan Sidang Daring Meskipun Pandemi Covid-19 Sudah Dicabut https://t.co/g2UybL5WBC"
"1688451762175565824","en","STUDY OF VISUAL FATIGUE DUE TO EXTENDED GADGET USE DURING THE COVID-19 PANDEMIC
https://t.co/nx47RM4Hnc

GROWTH AND DEVELOPMENT ON INFANTS AGED 0-24 MONTHS WITH A HISTORY OF LOW BIRTH WEIGHT (LBW) IN DR. SOETOMO GENERAL HOSPITAL SURABAYA
https://t.co/LYiZDPRucp"
"1688417151798104064","in","Pemerintah menerbirkan Peraturan Presiden Republik Indonesia (Perpres) Nomor 48 Tahun 2023 tentang Pengakhiran Penanganan Pandemi Covid-19.
 
#surabaya #jokowi #perpres #covid #beritajawatimur #kabarjatim
https://t.co/sRWonqghPp"
"1686155287311630336","in","Warga Mojokerto Sumringah Desanya Dipakai KKN 6 Negara. 👇

Sempat vakum tiga tahun akibat pandemi Covid-19, UK Petra Surabaya kembali menggelar KKN Internasional COP di Kabupaten… #PendidikanKesehatan #KabupatenMojokerto #KKN via @beritajatimcom https://t.co/TApxg05vfx"
"1684992331546763264","in","@_AwayDay Jawab dikit, gak semua nya warga surabaya..
Pasti ada sekitaran Sidoarjo, Gresik, dan Pasuruan.
Dulu sebelum covid pernah tanya2 sihh pas away Bandung 😅

Klo fanatik, minim bisa beli tiket 🥲
Untuk bertahan hidup nya itu yg kurang tau."
"1684998283033296896","en","Phenotypic grouping of Catheter-Associated Escherichia coli from COVID-19 isolation wards using Hierarchical clustering in Surabaya  https://t.co/zvXb70FUG7 #medRxiv"
"1682988067081318400","in","@cakasana https://t.co/tQmgXSMUpK

Case soal Surabaya pernah ane bahas, bukannya bela tapi emang cuma perkara waktunya juga ga sih bermasalah. Ybs sebagai Walikota baru di 2 tahun pertama fokus soal covid n pulihin ekonomi sementara kerja cuma 4 tahun, 2 tahun berikutnya ga maksimal lah"
"1682628251985006592","in","Ya biar dikata sekarang miskin, iya SEKARANG EMANG AKU LAGI MISKIN. Tapi kemarin pernah punya, 1 gerai cincau best seller Surabaya, 1 outlet kopi kekinian skala nasyienel, 1 resto Korea hitz yg skrg udah tutup/bangkrut karena coviD, gerai tahu goreng di 3 mall premium Surabaya."
"1681553241774129158","in","#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 19 Juli 2023
#infovaksinsurabaya
#vaksinbooster 
https://t.co/Y8S3TZvbKC"
"1680202075198877696","in","Pernah Viral pada Tahun 2017 Hingga 2019, Wisata Kampung Warna-Warni di Malang ini Kini Terbengkalai? Benarkah Akibat Efek Usai Pendemi Covid-19? https://t.co/ymAwqBn0uR"
"1680052183520378880","bn","""কার্যকর এবং সঠিক ডাক্তারের প্রত্যয়ন পত্র লেখার নিয়ম''
https://t.co/dp9PVutYAu

#info #indonesia #news #viral #berita #like #instagram #beritaterkini #jakarta #covid #information #follow #fakta #bandung #instagood #surabaya #love #infoterkini #repost #trending #tips #bali"
"1679711676793499649","in","@Bunga_JyKesuma @Leonita_Lestari Itu wilayah kadrun di Jatim, bahkan mereka pernah mau ngacak2 Surabaya gara2 cak Eri nutup jembatan Suramadu bulan Juni/Juli 2021 (masa2 horror covid 19) padahal masyarakat Surabaya justru setuju dengan penutupan Jembatan Suramadu"
"1679728520585674752","in","Saksikan LIVE STREAMING Pertandingan SepakBola Hanya Dengan Login Di DAYWINBET &amp; Dukung Tim Favoritmu Dan Pasang Taruhanmu Hanya Di DAYWINBET

!! EVERYDAY IT'S DAYWINBET !!

#surabaya #covid #beauty #delivery #giveaway #slotgacor #daywinbet #daywinbetgacor https://t.co/McVJQJU0lV"
"1678751315357319172","in","Surabaya Cross Culture International Folk Art Festival, yang selama pandemi Covid-19 absen, dihidupkan lagi tahun ini. Berlangsung 16-20 Juli 2023, festival ini meneguhkan diplomasi antarbangsa melalui seni budaya. #Nusantara #AdadiKompas

https://t.co/RJGD4BsFEE"
"1678751156321804288","in","Surabaya Cross Culture International Folk Art Festival, yang selama pandemi Covid-19 absen, dihidupkan lagi tahun ini. Berlangsung 16-20 Juli 2023, festival ini meneguhkan diplomasi antarbangsa melalui seni budaya. #Nusantara #AdadiKompas

https://t.co/ZYEdIg1Lqe"
"1678747608729153538","in","Surabaya Cross Culture International Folk Art Festival, yang selama pandemi Covid-19 absen, dihidupkan lagi tahun ini. Berlangsung 16-20 Juli 2023, festival ini meneguhkan diplomasi antarbangsa melalui seni budaya. #Nusantara #AdadiKompas 

 https://t.co/cLNcUfXHOb"
"1678694380004323328","in","Komunitas gowes ini sebagian besar anggotanya dari Surabaya dan Sidoarjo, baru terbentuk saat pandemi Covid-19 melanda dunia, termasuk Indonesia. https://t.co/ke38WSFTI9"
"1678666655080087552","in","SR, Surabaya - Setelah sempat terhenti selama 3 tahun akibat pandemi COVID-19, kini Surabaya Cross Culture International Folk Art Festival (SCCIFAF) Tahun 2023 kembali digelar oleh Pemerintah Kota (Pemkot) Surabaya. 

Pada #DisbudporaparKotaSurabaya

https://t.co/LcGpMCjC59 https://t.co/7UMbSOZLwl"
"1678644838676275200","in","#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 11 Juli 2023
#infovaksinsurabaya
#vaksinbooster 
https://t.co/ig9NRiIJVt"
"1678635302292795393","in","Hallo Sahabat RS. Bhayangkara H.S. Samsoeri Mertojoso Surabaya,
Kuota Vaksinasi Covid-19 ""INAVAC"" sudah tersedia , GRATISS !😍
Yuk buruan yang mau daftar, kuota terbatas yaaa...
Pelayanan Vaksinasi kami buka setiap hari Senin - Jum'at (08.00 - 12.00 WIB). https://t.co/qc7zbRf5Ch"
"1678569053898838017","in","Setelah terhenti selama 3 tahun akibat pandemi COVID-19, Pemkot Surabaya kembali menggelar Surabaya Cross Culture International Folk Art Festival (SCCIFAF). https://t.co/ED2zZ0sEat"
"1678270333948932097","in","#BeritaJatim 
Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 10 Juli 2023
#infovaksinsurabaya
#vaksinbooster 
https://t.co/9vrdrPLA9Q"
