lang,full_text,processed_text,word_tokens,word_weights,polarity_score
in,@oneiromansy surabaya masih adaa.. daerah pandugo deket kosan. terakhir beli pas awal covid. 10k dah sama ayam,surabaya adaa daerah pandugo deket kosan beli pa covid 10k dah ayam ,"['surabaya', 'adaa', 'daerah', 'pandugo', 'deket', 'kosan', 'beli', 'pa', 'covid', '10k', 'dah', 'ayam']","[0, 0, 0, 0, '1', 0, '2', '-5', 0, 0, '-3', 0]",-5
in,"Surabaya. Bapakku dan ibuku seorang pedagang pasar. (Aku menangis ketika menulis ini). Bapakku sayang kepadaku begitu juga kakakku.
Singkat cerita, saat covid melanda, aku ditinggal oleh kakakku yang telah dipanggil oleh sang maha kuasa...",surabaya bapakku ibuku pedagang pasar menangis menulis bapakku sayang kepadaku kakakku singkat cerita covid melanda ditinggal kakakku dipanggil sang maha kuasa ,"['surabaya', 'bapakku', 'ibuku', 'pedagang', 'pasar', 'menangis', 'menulis', 'bapakku', 'sayang', 'kepadaku', 'kakakku', 'singkat', 'cerita', 'covid', 'melanda', 'ditinggal', 'kakakku', 'dipanggil', 'sang', 'maha', 'kuasa']","[0, 0, 0, 0, 0, '-5', 0, 0, '3', 0, 0, '-3', '2', 0, 0, '-4', 0, '-1', 0, '4', '3']",-1
in,"@small_mofo_Mk2 Masih inget waktu bu risma tiba2 ngutip2in sampah pas lagi demo UU Ciptaker di Surabaya habis itu balik lagi, random banget.
Belum lagi yang tiba2 sujud nyium kaki dokter pas awal puncak COVID :v",inget bu risma tiba2 ngutip2in sampah pa demo uu ciptaker surabaya habis random banget tiba2 sujud nyium kaki dokter pa puncak covid ,"['inget', 'bu', 'risma', 'tiba2', 'ngutip2', 'in', 'sampah', 'pa', 'demo', 'uu', 'ciptaker', 'surabaya', 'habis', 'random', 'banget', 'tiba2', 'sujud', 'nyium', 'kaki', 'dokter', 'pa', 'puncak', 'covid']","[0, 0, 0, 0, 0, 0, '-4', '-5', '-3', 0, 0, 0, '3', '-4', '1', 0, 0, 0, 0, 0, '-5', '-3', 0]",-20
in,"untuk mendukung upaya penanganan COVID-19,"" kata Wali Kota Surabaya, Eri Cahyadi. Puskesmas 24 jam ini dilengkapi dengan fasilitas lengkap dan tenaga medis yang siap melayani masyarakat kapan pun dibutuhkan. Dengan adanya",mendukung upaya penanganan covid 19 wali kota surabaya eri cahyadi puskesmas 24 jam dilengkapi fasilitas lengkap tenaga medis melayani masyarakat dibutuhkan ,"['mendukung', 'upaya', 'penanganan', 'covid', '19', 'wali', 'kota', 'surabaya', 'eri', 'cahyadi', 'puskesmas', '24', 'jam', 'dilengkapi', 'fasilitas', 'lengkap', 'tenaga', 'medis', 'melayani', 'masyarakat', 'dibutuhkan']","[0, '1', '1', 0, 0, 0, '-1', 0, 0, 0, 0, 0, 0, 0, '2', '2', '3', 0, '3', 0, 0]",11
in,@iMosmorde Njirrr wkwkwkwk sebelum covid aku malah pulkam ke surabaya 😂😂,njirr wkwkwkwk covid pulkam surabaya ,"['njirr', 'wkwkwkwk', 'covid', 'pulkam', 'surabaya']","[0, 0, 0, 0, 0]",0
in,Wisma Jerman Surabaya dan EKONID menggelar kembali Oktoberfest setelah tiga tahun vakum pasca pandemi COVID-19. https://t.co/16Zfd2VqVs,wisma jerman surabaya ekonid menggelar oktoberfest vakum pasca pandemi covid 19 ,"['wisma', 'jerman', 'surabaya', 'ekonid', 'menggelar', 'oktoberfest', 'vakum', 'pasca', 'pandemi', 'covid', '19']","['3', 0, 0, 0, 0, 0, '-3', 0, '-5', 0, 0]",-5
in,That’s why ketika covid dan harus LDR itu gampang banget karena dasarnya we barely met but good at communication. Distance between Sukabumi-Surabaya means nothing😋,that why covid ldr gampang banget dasarnya we barely met but good at communication distance between sukabumi surabaya mean nothing ,"['that', 'why', 'covid', 'ldr', 'gampang', 'banget', 'dasarnya', 'we', 'barely', 'met', 'but', 'good', 'at', 'communication', 'distance', 'between', 'sukabumi', 'surabaya', 'mean', 'nothing']","[0, '-2', 0, '-2', '4', '1', 0, 0, 0, 0, 0, '5', 0, 0, 0, 0, 0, 0, 0, 0]",6
in,"@caknuu 01/01/2020, pas malem lg di Bus Lorena Surabaya-Jakarta. Turun di pool Lorena Lebak Bulus, badan panas, batuk2, pusing, sampe 3 minggu gak sembuh2. Mpe heran lama amat sembuhnya. Pas udah ke sininya, baru nyadar kayaknya itu kena Covid. I got covid19 before it was popular.",01 01 2020 pa malem lg bus lorena surabaya jakarta turun pool lorena lebak bulus badan panas batuk2 pusing sampe minggu gak sembuh2 mpe heran sembuhnya pa udah sininya nyadar kayaknya kena covid got covid19 before it wa popular ,"['01', '01', '2020', 'pa', 'malem', 'lg', 'bus', 'lorena', 'surabaya', 'jakarta', 'turun', 'pool', 'lorena', 'lebak', 'bulus', 'badan', 'panas', 'batuk2', 'pusing', 'sampe', 'minggu', 'gak', 'sembuh2', 'mpe', 'heran', 'sembuhnya', 'pa', 'udah', 'sininya', 'nyadar', 'kayaknya', 'kena', 'covid', 'got', 'covid19', 'before', 'it', 'wa', 'popular']","[0, 0, 0, '-5', '-1', 0, 0, 0, 0, 0, '1', 0, 0, 0, '-5', '-3', '4', 0, '-4', 0, 0, 0, 0, 0, '4', 0, '-5', 0, 0, 0, '-3', '-3', 0, '-3', 0, 0, 0, 0, 0]",-23
in,"@zzzzzlayz @convomfs Bener banget. di surabaya ada tuh bakso boedjangan baru setahun keknya, udh tutup. Karena covid waktu itu",bener banget surabaya tuh bakso boedjangan setahun keknya udh tutup covid ,"['bener', 'banget', 'surabaya', 'tuh', 'bakso', 'boedjangan', 'setahun', 'keknya', 'udh', 'tutup', 'covid']","['3', '1', 0, 0, 0, 0, 0, 0, 0, '-2', 0]",2
in,Bahkan di Surabaya pelaku UMKM bidang kuliner tumbuh pesat hingga 200 persen saat pandemi COVID-19. #publisherstory #beritaanaksurabaya https://t.co/CU73pMhv3T,surabaya pelaku umkm bidang kuliner tumbuh pesat 200 persen pandemi covid 19 publisherstory beritaanaksurabaya ,"['surabaya', 'pelaku', 'umkm', 'bidang', 'kuliner', 'tumbuh', 'pesat', '200', 'persen', 'pandemi', 'covid', '19', 'publisherstory', 'beritaanaksurabaya']","[0, 0, 0, 0, 0, 0, '3', 0, '2', '-5', 0, 0, 0, 0]",0
